timestamp;test-class;test-method;time;description;result
2021-06-07 18:05:25.34;acme.testing.AnonymousShoutTest;create;5117;[1] recordIndex=7, author=Pepe Garcia, text=Be the change you want to see in the home, info=http://example.org;OK
2021-06-07 18:05:30.061;acme.testing.AnonymousShoutTest;create;4241;[2] recordIndex=8, author=Julian Brandt, text=Be the change you want to see in the garden, info=http://example.org;OK
2021-06-07 18:05:35.566;acme.testing.AnonymousShoutTest;create;5058;[3] recordIndex=9, author=Manuel Gavira, text=Be the change you want to see in the cinema, info=http://example.org;OK
2021-06-07 18:05:41.09;acme.testing.AnonymousShoutTest;create;5060;[4] recordIndex=10, author=Juan Colete, text=The plain truth, info=null;OK
2021-06-07 18:05:46.588;acme.testing.AnonymousShoutTest;create;5040;[5] recordIndex=11, author=Victor Royal, text=Go fit, info=null;OK
2021-06-07 18:05:52.086;acme.testing.AnonymousShoutTest;create;5058;[6] recordIndex=12, author=Sex A A A A A A A A A A, text=Let's go!, info=null;OK
2021-06-07 18:05:57.652;acme.testing.AnonymousShoutTest;create;5105;[7] recordIndex=13, author=Victor Royal, text=Sex A A A A A A A A A A, info=null;OK
2021-06-07 18:06:03.202;acme.testing.AnonymousShoutTest;create;5087;[8] recordIndex=14, author=Sex A A A A A A A A A A, text=Sex A A A A A A A A A A, info=null;OK
;;Promedio create;4970,75;;
2021-06-07 18:06:05.966;acme.testing.AnonymousShoutTest;listShout;2305;[1] recordIndex=6, moment=2021/05/21 05:00, author=Mark Kent, text=We live with the scars we choose;OK
2021-06-07 18:06:08.691;acme.testing.AnonymousShoutTest;listShout;2273;[2] recordIndex=4, moment=2021/05/20 00:00, author=Patrick Foden, text=Who seeks shall find;OK
2021-06-07 18:06:11.406;acme.testing.AnonymousShoutTest;listShout;2267;[3] recordIndex=5, moment=2021/05/21 00:00, author=Sarah Bent, text=A goal is a dream with a deadline;OK
2021-06-07 18:06:14.131;acme.testing.AnonymousShoutTest;listShout;2280;[4] recordIndex=3, moment=2021/05/19 00:00, author=Chris Welbeck, text=Only do what your heart tells you!;OK
;;Promedio listShout;2281,25;;
2021-06-07 18:06:16.908;acme.testing.AnonymousShoutTest;createNegative;2286;[1] author=Juan Garcia, text=, info=http://example.org;OK
2021-06-07 18:06:19.686;acme.testing.AnonymousShoutTest;createNegative;2307;[2] author=, text=Try it again. Fail again. Fail better, info=http://example.org;OK
2021-06-07 18:06:22.459;acme.testing.AnonymousShoutTest;createNegative;2281;[3] author=Juan Colete, text=, info=http://example.org;OK
2021-06-07 18:06:25.254;acme.testing.AnonymousShoutTest;createNegative;2342;[4] author=Juan Colete, text=sex, info=http://example.org;OK
2021-06-07 18:06:28.095;acme.testing.AnonymousShoutTest;createNegative;2369;[5] author=sex, text=example, info=http://example.org;OK
2021-06-07 18:06:30.882;acme.testing.AnonymousShoutTest;createNegative;2335;[6] author=Sad, text=Be the change you want to see in the home, info=http://example.org;OK
2021-06-07 18:06:33.685;acme.testing.AnonymousShoutTest;createNegative;2346;[7] author=Pepe Garcia, text=Be the change you want to see in the home Be the change you want see in the home Be, info=link1;OK
;;Promedio createNegative;2323,714286;;
2021-06-07 18:06:47.698;acme.testing.AuthenticatedTaskListTest;listPositive;5851;[1] recordIndex=0, title=Life, description=Thus one can link two tasks, the spiritual and the physical, start=2021/10/15 02:00, end=2022/10/16 01:00, workload=100.00;OK
2021-06-07 18:06:53.687;acme.testing.AuthenticatedTaskListTest;listPositive;5802;[2] recordIndex=1, title=Political, description=Their appointment, roles and tasks should be clearly determined, start=2021/10/18 00:00, end=2022/10/21 04:00, workload=100.00;OK
2021-06-07 18:06:59.778;acme.testing.AuthenticatedTaskListTest;listPositive;5902;[3] recordIndex=2, title=Political, description=The free status relates to the tasks of local governments, start=2021/10/23 06:00, end=2022/10/24 10:00, workload=100.00;OK
2021-06-07 18:07:05.818;acme.testing.AuthenticatedTaskListTest;listPositive;5852;[4] recordIndex=3, title=Work, description=The free status relates to the tasks of local governments, start=2021/11/02 02:00, end=2022/11/03 04:00, workload=100.00;OK
2021-06-07 18:07:11.842;acme.testing.AuthenticatedTaskListTest;listPositive;5837;[5] recordIndex=4, title=Work, description=Each department has its own rules, daily tasks, milestones and goals, start=2021/11/05 09:00, end=2022/11/06 11:00, workload=100.00;OK
2021-06-07 18:07:17.883;acme.testing.AuthenticatedTaskListTest;listPositive;5851;[6] recordIndex=5, title=Political, description=Duties and tasks of the laboratories participating in the consortium, start=2021/11/13 03:00, end=2022/11/14 07:00, workload=100.00;OK
;;Promedio listPositive;5849,166667;;
2021-06-07 18:07:31.83;acme.testing.ConsumerUpdateTest;PcreateConsumer;5796;[1] recordIndex=0, company=PepeMax, sector=primary, newCompany=ManolitoPiesDePlata, newSector=Secondary;OK
;;Promedio PcreateConsumer;5796;;
